STN--- ,WBAN  , YEAR,MO,DA  ,  TEMP ,    ,  DEWP ,    _1, SLP   ,    _2, STP   ,    _3,VISIB ,    _4, WDSP ,    _5,MXSPD  , GUST  ,  MAX   ,  MIN   ,PRCP   ,SNDP   ,F,R,S,H,T,T_6
725090,14739,2023,1,1,52.5,24,45.7,24,1007.8,22,1006.1,24,8.8,24,10.6,24,17.1,25.1,  55.0  ,  44.1  , 0.39G ,999.9,1,1,0,0,0,0
725090,14739,2023,1,2,43.7,24,32.2,24,1016.9,24,1016,24,10,24,7.8,24,12,20,  55.0  ,  36.0  , 0.04G ,999.9,0,0,0,0,0,0
725090,14739,2023,1,3,40.8,24,37,24,1019,20,1017.5,24,6.3,24,4,24,8.9,999.9,  52.0  ,  34.0  , 0.00G ,999.9,0,1,0,0,0,0
725090,14739,2023,1,4,41.4,24,39.9,24,1011.7,15,1010.3,24,6.7,24,3.9,24,8,999.9,  45.0  ,  34.0  , 0.63G ,999.9,0,1,0,0,0,0
725090,14739,2023,1,5,42.1,24,41,24,1015.3,19,1014.2,24,5.2,24,12.4,24,17.1,22,  45.0  ,  37.0  , 0.25G ,999.9,0,1,0,0,0,0
725090,14739,2023,1,6,34.9,24,33.9,24,1016.2,17,1015.1,24,3.9,24,8.2,24,14,999.9,  45.0  ,  33.1  , 0.01G ,999.9,1,1,1,0,0,0
725090,14739,2023,1,7,37.4,24,32.4,24,1017.5,21,1016.5,24,8.1,24,7,24,13,999.9,  44.1  ,  33.1  , 0.19G ,999.9,0,1,1,0,0,0
725090,14739,2023,1,8,31.6,24,18.6,24,1023.5,24,1022.5,24,10,24,8.5,24,15,20,  44.1  ,  25.0  , 0.00G ,999.9,0,0,0,0,0,0
725090,14739,2023,1,9,34.6,24,25,24,1015,24,1014.2,24,10,24,8.2,24,12,999.9,  43.0  ,  25.0  , 0.00G ,999.9,0,0,1,0,0,0
725090,14739,2023,1,10,36.9,24,22.9,24,1012.9,24,1012,24,10,24,9.3,24,13,20,  43.0  ,  28.0  , 0.00G ,999.9,0,0,0,0,0,0
725090,14739,2023,1,11,28.9,24,17.1,24,1023.6,22,1022.8,24,10,24,7.8,24,8.9,999.9,  42.1  ,  23.0  , 0.00G ,999.9,0,0,0,0,0,0
725090,14739,2023,1,12,34.4,24,30.8,24,1024.8,20,1023.9,24,9.1,24,6.1,24,13,999.9,  42.8* ,  30.9* , 0.01G ,999.9,0,1,1,0,0,0
725090,14739,2023,1,13,52,24,49.3,24,1005.4,18,1003.6,24,8,24,13.7,24,24.1,32.1,  57.9  ,  30.0  , 0.61G ,999.9,0,1,0,0,0,0
