STN--- ,WBAN  , YEAR,MO,DA  ,  TEMP ,    ,  DEWP ,    _1, SLP   ,    _2, STP   ,    _3,VISIB ,    _4, WDSP ,    _5,MXSPD  , GUST  ,  MAX   ,  MIN   ,PRCP   ,SNDP   ,F,R,S,H,T,T_6
722590,3927,2023,1,1,63,24,46.4,24,1009.4,24,988.3,24,10,24,10.1,24,14,999.9,  78.1  ,  46.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,2,69.1,24,62.6,24,1007.1,19,986.6,24,7.9,24,10.5,24,22,28,  78.1  ,  51.1  , 0.00G ,999.9,0,1,0,0,0,0
722590,3927,2023,1,3,65,24,38.1,24,1007.6,24,986.7,24,9.9,24,9.6,24,15,22,  78.1  ,  57.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,4,50.2,24,32.1,24,1014.6,24,993.4,24,10,24,5.6,24,8.9,999.9,  69.1  ,  37.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,5,47.8,24,29.5,24,1023.2,24,1001.6,24,10,24,4.1,24,7,999.9,  62.1  ,  36.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,6,52.9,24,35.3,24,1020.9,24,999.2,24,10,24,7.9,24,21,28,  70.0  ,  36.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,7,59.5,24,47.4,24,1018.8,24,997.7,24,10,24,10.4,24,15,999.9,  70.0  ,  41.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,8,51,24,32.8,24,1024.9,24,1003.2,24,10,24,7.7,24,13,999.9,  64.0  ,  39.9  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,9,51.8,24,34.7,24,1022.2,24,1000.3,24,10,24,4.9,24,15,999.9,  70.0  ,  36.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,10,60.9,24,44.3,24,1014.5,24,993,24,10,24,10,24,18.1,24.1,  82.9  ,  39.9  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,11,67.9,24,43.3,24,1008.9,24,987.7,24,10,24,11.2,24,19,27,  84.9  ,  45.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,12,59,24,34,24,1016.4,24,996,24,10,24,17.8,24,28.9,38.1,  84.9  ,  46.0  , 0.00G ,999.9,0,1,0,0,0,0
722590,3927,2023,1,13,45.7,24,26.8,24,1029.2,24,1007.3,24,10,24,6.8,24,11.1,999.9,  69.1  ,  33.1  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,14,48.5,24,25.6,24,1024.6,24,1002.6,24,10,24,6.6,24,15.9,21,  64.0  ,  34.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,15,56.9,24,41.3,24,1013.2,24,991.5,24,10,24,14.9,24,27,36.9,  71.1  ,  37.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,16,67.5,24,52.9,24,1006.1,24,985.1,24,10,24,15.4,24,22,29.9,  75.9  ,  50.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,17,61.8,24,40.4,24,1006.2,24,985.2,24,10,24,6.2,24,9.9,999.9,  79.0  ,  48.9  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,18,65.5,24,47.1,24,1005.7,23,984.8,24,9.4,24,10.5,24,18.1,24.1,  79.0  ,  48.9  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,19,55,24,23.7,24,1014.2,24,993.3,24,10,24,11,24,17.1,24.1,  72.0  ,  43.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,20,50.7,24,29.5,24,1022.3,24,1000.6,24,10,24,4.3,24,9.9,999.9,  63.0  ,  39.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,21,51.5,24,35.7,24,1017.4,24,995.5,24,10,24,7.7,24,11.1,999.9,  63.0  ,  39.0  , 0.00G ,999.9,0,1,0,0,0,0
722590,3927,2023,1,22,46.4,24,32.3,24,1014.4,24,993,24,10,24,11.4,24,17.1,24.1,  59.0  ,  39.9  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,23,42.9,24,27.4,24,1022,24,1000.3,24,10,24,3.9,24,8.9,14,  55.0  ,  33.1  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,24,45.7,24,34.8,24,1017.7,22,995.2,24,8.1,24,9.8,24,18.1,25.1,  55.0  ,  33.1  , 0.14G ,999.9,0,1,0,0,0,0
722590,3927,2023,1,25,39.1,24,33.7,24,1016.9,19,995.1,24,9.9,24,12.4,24,17.1,25.1,  48.9  ,  35.1  , 0.88G ,999.9,0,1,1,0,0,0
722590,3927,2023,1,26,41.9,24,30,24,1026.3,24,1004.5,24,10,24,8.2,24,14,18.1,  54.0  ,  32.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,27,46.1,24,27.3,24,1024.6,24,1002.5,24,10,24,9.8,24,19,26,  63.0  ,  30.9  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,28,53.3,24,40.8,24,1017.4,20,995.6,24,8.8,24,12.3,24,17.1,26,  70.0  ,  31.1  , 0.00G ,999.9,0,1,0,0,0,0
722590,3927,2023,1,29,49.4,24,46.3,24,1015.4,21,994.6,24,8.4,24,11.6,24,22,28,  70.0  ,  33.1  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,1,30,29.3,24,24.9,24,1023.9,15,1002.6,24,9.3,24,13.6,24,18.1,999.9,  34.0* ,  27.0* , 0.00G ,999.9,0,1,1,0,0,0
722590,3927,2023,1,31,26.6,24,23,24,1027,14,1004.9,24,5.9,24,12.6,24,17.1,21,  30.0  ,  25.0  , 0.01G ,999.9,1,1,1,1,1,0
722590,3927,2023,2,1,28.5,24,21.1,24,1028.4,18,1005.9,24,9.2,24,8.9,24,13,999.9,  30.2* ,  27.0* , 0.35G ,999.9,0,1,1,0,0,0
722590,3927,2023,2,2,31.7,24,28.8,24,1026.7,10,1004.2,24,7.2,24,7.7,24,12,999.9,  34.0  ,  28.0  , 0.44G ,1.2,0,1,0,0,0,0
722590,3927,2023,2,3,37.2,24,30.9,24,1032.7,24,1010.3,24,8.1,24,5.8,24,8.9,999.9,  53.1  ,  30.0  , 0.25G ,999.9,0,1,0,0,0,0
722590,3927,2023,2,4,43.3,24,35,24,1028.6,24,1006.3,24,9.2,24,7.4,24,20,26,  57.9  ,  30.2  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,2,5,52.6,24,43.2,24,1021,24,999.2,24,10,24,6.6,24,11.1,999.9,  70.0  ,  32.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,2,6,60.8,24,52.1,24,1014.6,23,993.3,24,9.9,24,12.7,24,24.1,35,  73.9  ,  42.1  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,2,7,60.5,24,54.5,24,1013.4,18,992.8,24,8.2,24,11.7,24,21,24.1,  73.9  ,  46.9  , 0.00G ,999.9,0,1,0,0,0,0
722590,3927,2023,2,8,46.8,24,44.4,24,1015.4,13,994.1,24,7.2,24,11.6,24,20,31.1,  48.9* ,  45.0* , 1.86G ,999.9,0,1,0,0,1,0
722590,3927,2023,2,9,44.9,24,37.8,24,1017,24,995.5,24,9.7,24,4.5,24,13,22.9,  64.0  ,  33.1  , 0.35G ,999.9,0,0,0,0,0,0
722590,3927,2023,2,10,46.7,24,35,24,1025.5,24,1004,24,10,24,15.2,24,21,28,  64.0  ,  33.1  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,2,11,41.7,24,31.7,24,1027.5,23,1005.6,24,10,24,8,24,15,999.9,  55.9  ,  35.1  , 0.00G ,999.9,0,1,1,0,0,0
722590,3927,2023,2,12,48.4,24,31.3,24,1021.4,24,999.4,24,10,24,5.2,24,12,22,  68.0  ,  34.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,2,13,53.4,24,32.8,24,1015.4,24,994,24,10,24,6.8,24,12,999.9,  68.0  ,  34.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,2,14,61.7,24,47.2,24,1004.2,21,983,24,8.9,24,16.9,24,28.9,38.1,  71.1  ,  41.0  , 0.44G ,999.9,0,1,0,0,1,0
722590,3927,2023,2,15,60.3,24,42.9,24,1006.1,24,985.1,24,10,24,9,24,20,29.9,  77.0  ,  45.0  , 0.14G ,999.9,0,0,0,0,0,0
722590,3927,2023,2,16,51.9,24,38,24,1014.2,24,993.5,24,10,24,17.8,24,25.1,34,  77.0  ,  39.9  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,2,17,39.2,24,21.3,24,1030,24,1008,24,10,24,11.4,24,21,28.9,  57.9  ,  30.9  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,2,18,42.4,24,22.2,24,1030,24,1007.6,24,10,24,7.4,24,19,22,  53.1  ,  30.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,2,19,52.8,24,29.9,24,1020.5,24,998.8,24,10,24,10.9,24,15.9,22,  72.0  ,  32.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,2,20,66.5,24,44.2,24,1013.5,24,992.1,24,10,24,11.8,24,20,27,  80.1  ,  43.0  , 0.00G ,999.9,0,0,0,0,0,0
722590,3927,2023,2,21,72.8,24,47.5,24,1005.9,24,984.8,24,10,24,10.7,24,19,26,  90.0  ,  57.0  , 0.00G ,999.9,0,0,0,0,0,0
