STN--- ,WBAN  , YEAR,MO,DA  ,  TEMP ,    ,  DEWP ,    _1, SLP   ,    _2, STP   ,    _3,VISIB ,    _4, WDSP ,    _5,MXSPD  , GUST  ,  MAX   ,  MIN   ,PRCP   ,SNDP   ,F,R,S,H,T,T_6
722780,23183,2023,1,1,57.6,24,49.3,24,1008.1,24,969.2,24,8.5,24,6.8,24,20,29.9,  66.9  ,  48.9  , 0.00G ,999.9,0,1,0,0,1,0
722780,23183,2023,1,2,51,24,41.9,24,1009.9,24,970.4,24,9.5,24,7.5,24,12,21,  62.1  ,  46.9  , 0.54G ,999.9,0,1,0,0,1,0
722780,23183,2023,1,3,52.8,24,41.4,24,1016.1,24,976.6,24,10,24,5.1,24,8,999.9,  61.0  ,  46.9  , 0.11G ,999.9,0,1,0,0,0,0
722780,23183,2023,1,4,55.2,24,41.4,24,1020.6,24,981.1,24,10,24,5.3,24,11.1,999.9,  66.0  ,  48.9  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,5,56.4,24,40.9,24,1019.3,24,979.8,24,10,24,4.3,24,9.9,999.9,  66.0  ,  48.9  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,6,55.5,24,45.1,24,1019,24,979.7,24,10,24,3.4,24,6,999.9,  64.0  ,  48.9  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,7,53.8,24,39,24,1020.5,24,980.9,24,9.9,24,3,24,9.9,999.9,  69.1  ,  43.0  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,8,56,24,37,24,1019.9,24,980.4,24,10,24,3.3,24,8,999.9,  71.1  ,  43.0  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,9,57.1,24,39.1,24,1019.7,24,980.3,24,10,24,3.5,24,8,999.9,  71.1  ,  44.1  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,10,57.8,24,39.8,24,1017.5,24,978.5,24,10,24,4.5,24,8.9,999.9,  70.0  ,  46.9  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,11,59.1,24,37.6,24,1017.2,24,977.8,24,10,24,4.4,23,8,999.9,  70.0  ,  48.9  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,12,56.3,24,32.6,24,1022.6,24,983.1,24,10,24,3.7,24,8.9,999.9,  73.9  ,  44.1  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,13,61.8,24,26.4,24,1020.3,24,981,24,10,24,4.7,24,15,999.9,  75.9  ,  44.1  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,14,58.7,24,33.2,24,1014.4,24,975.4,24,10,24,3.2,24,7,999.9,  75.9  ,  48.0  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,15,56.5,24,42.5,24,1008.9,24,970,24,9.1,24,3.6,24,8,999.9,  64.9  ,  48.0  , 0.03G ,999.9,0,1,0,0,0,0
722780,23183,2023,1,16,54.9,24,46.4,24,1009.5,22,970.6,24,9.4,24,5.9,24,12,17.1,  61.0  ,  50.0  , 0.14G ,999.9,0,1,0,0,0,0
722780,23183,2023,1,17,55.3,24,43.5,24,1006.3,24,967.3,24,9.8,24,8.1,24,14,18.1,  61.0  ,  48.0  , 0.32G ,999.9,0,1,0,0,0,0
722780,23183,2023,1,18,50.8,24,35.8,24,1014.8,24,975.3,24,10,24,3.7,24,8.9,999.9,  60.1  ,  45.0  , 0.12G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,19,50.1,24,34.5,24,1019,24,979.3,24,10,24,4,24,7,999.9,  61.0  ,  42.1  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,20,51,24,32.1,24,1016.5,24,977,24,10,24,5.4,24,11.1,15.9,  61.0  ,  42.1  , 0.00G ,999.9,0,1,0,0,0,0
722780,23183,2023,1,21,47.8,24,30.3,24,1022.8,24,982.8,24,10,24,4,24,11.1,999.9,  59.0  ,  37.9  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,22,48.5,24,30.9,24,1018.2,24,978.5,24,10,24,4.5,24,8.9,999.9,  60.1  ,  37.9  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,23,47.2,24,24,24,1008.3,24,968.9,24,10,24,6.2,24,14,999.9,  60.1  ,  37.9  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,24,43.6,24,29.5,24,1021.3,24,981.2,24,10,24,5.4,24,17.1,999.9,  55.9  ,  35.1  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,25,47,24,30.3,24,1024.1,24,984.1,24,10,24,3.7,24,6,999.9,  62.1  ,  35.1  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,26,50.5,24,19.2,24,1024.2,24,984.5,24,10,24,5.1,24,15.9,26,  63.0  ,  36.0  , 0.00G ,999.9,0,0,0,0,0,0
722780,23183,2023,1,27,51.3,24,12.6,24,1022.7,24,982.9,24,10,24,4.7,24,11.1,15.9,  64.0  ,  36.0  , 0.00G ,999.9,0,0,0,0,0,0
